user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	red_value	warnings
CA-L227-2014.24	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	94.34	0.8871560499997363	N/A
CA-L227-2014.49	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	94.48	0.8008228222598331	N/A
CA-L227-2013.49	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	87.98	0.8236878236124444	N/A
L227-2014-6m.011	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	84.21	0.8235792877891253	N/A
CA-L227-2013.13	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	95.95	0.8230006401602042	N/A
CA-L442.14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	95.93	0.8197180623818765	N/A
CA-L442.75	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	GCA_001303245.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__SG8-30;s__	77.12	0.13	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	92.1	0.7803989572229454	N/A
CA-L442.84	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	98.03	0.7771412897725446	N/A
L227-2014-6m.013	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__	UBA10906	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__	76.76	0.13	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	90.63	0.968296472889614	N/A
CA-L442.71	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__	UBA10906	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__	77.19	0.15	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	79.36	0.9677475477308458	N/A
L442-2011-16-5m.007	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__	UBA10906	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__UBA10906;s__	76.21	0.15	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	67.45	0.965528527375934	N/A
CA-L442.57	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__	GCF_000190755.2	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylobacter_A;s__Methylobacter_A tundripaludum	79.22	0.45	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	67.43	0.9596095029149189	N/A
L442-2011-16-5m.005	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__	GCA_002256705.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__	81.22	0.37	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_002256465.1, s__, 95.0, 80.58, 0.3	71.76	0.957354618117235	N/A
L227-2013-8m.001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	94.58	0.9454680843513399	N/A
CA-L227-2014.37	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__KS41;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	83.06	0.9397498176851204	N/A
L442-2014-15m.012	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloterricola;s__	GCF_000934725.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methyloterricola;s__Methyloterricola oryzae	76.47	0.13	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	66.26	0.8661595999305506	N/A
CA-L227-2013.15	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Methylophilaceae;g__Methylopumilus_A;s__	GCF_000953015.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Methylophilaceae;g__Methylopumilus_A;s__Methylopumilus_A turicensis	79.91	0.55	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	80.42	0.9741788833531847	N/A
CA-L442.70	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__Gallionella;s__	GCF_000145255.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__Gallionella;s__Gallionella capsiferriformans	87.78	0.8	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_001801025.1, s__, 95.0, 87.67, 0.81; GCA_001802335.1, s__, 95.0, 78.82, 0.19; GCA_002381565.1, s__, 95.0, 78.74, 0.42; GCA_002780675.1, s__Gallionella sp3, 95.0, 77.84, 0.23; GCA_001801105.1, s__, 95.0, 77.04, 0.15; GCA_001801085.1, s__Gallionella sp4, 95.0, 76.88, 0.18; GCA_002403995.1, s__, 95.0, 76.77, 0.16; GCA_001577345.1, s__Gallionella acididurans, 95.0, 76.75, 0.19; GCA_001801175.1, s__, 95.0, 76.66, 0.18; GCA_001801215.1, s__, 95.0, 76.6, 0.19; GCA_002429165.1, s__, 95.0, 76.51, 0.17; GCA_002414205.1, s__Gallionella sp2, 95.0, 76.5, 0.1; GCA_001801055.1, s__, 95.0, 76.48, 0.11	74.64	0.9924948728813029	N/A
L442-2011-16-5m.018	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Nitrosomonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Placement	taxonomic novelty determined using RED	N/A	93.94	0.8768520597334596	N/A
L442-2011-16-5m.006	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__Sulfuritalea;s__	GCF_000828635.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Rhodocyclaceae;g__Sulfuritalea;s__Sulfuritalea hydrogenivorans	83.77	0.63	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_001828935.1, s__, 95.0, 83.14, 0.59	95.19	0.9722541978593003	N/A
CA-L227-2013.65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	GCA_001795465.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	79.97	0.45	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_001770935.1, s__, 95.0, 79.62, 0.43; GCF_001955715.1, s__Rhodoferax saidenbachensis, 95.0, 79.54, 0.46; GCF_002251855.1, s__, 95.0, 79.4, 0.43; GCA_002842265.1, s__, 95.0, 79.39, 0.32; GCA_002422455.1, s__, 95.0, 79.28, 0.22; GCA_002789915.1, s__, 95.0, 78.95, 0.33; GCA_002781645.1, s__Rhodoferax sp1, 95.0, 78.94, 0.33; GCF_002163715.1, s__, 95.0, 78.94, 0.35; GCA_002413825.1, s__, 95.0, 78.94, 0.39; GCF_000013605.1, s__Rhodoferax ferrireducens, 95.0, 78.83, 0.42; GCA_002256115.1, s__, 95.0, 78.81, 0.38; GCA_002786915.1, s__, 95.0, 78.78, 0.4; GCF_002017865.1, s__Rhodoferax fermentans, 95.0, 78.74, 0.37; GCA_002083775.1, s__Rhodoferax ferrireducens_A, 95.0, 78.7, 0.43; GCA_001771065.1, s__, 95.0, 78.62, 0.36; GCA_002789135.1, s__Rhodoferax sp2, 95.0, 78.51, 0.31; GCF_001938565.1, s__Rhodoferax antarcticus, 95.0, 78.27, 0.36; GCA_002390825.1, s__, 95.0, 78.17, 0.28; GCA_002381045.1, s__, 95.0, 77.61, 0.22	94.5	0.9649440255021395	N/A
CA-L227-2014.13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	GCA_002413825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	80.14	0.4	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_002422455.1, s__, 95.0, 79.31, 0.21; GCF_000013605.1, s__Rhodoferax ferrireducens, 95.0, 79.15, 0.4; GCA_001771065.1, s__, 95.0, 78.87, 0.28; GCA_001770935.1, s__, 95.0, 78.76, 0.33; GCA_001795465.1, s__, 95.0, 78.63, 0.27; GCA_002083775.1, s__Rhodoferax ferrireducens_A, 95.0, 78.6, 0.3; GCA_002789915.1, s__, 95.0, 78.6, 0.25; GCA_002842265.1, s__, 95.0, 78.56, 0.27; GCA_002256115.1, s__, 95.0, 78.54, 0.23; GCF_001955715.1, s__Rhodoferax saidenbachensis, 95.0, 78.45, 0.27; GCF_001938565.1, s__Rhodoferax antarcticus, 95.0, 78.36, 0.26; GCF_002017865.1, s__Rhodoferax fermentans, 95.0, 78.33, 0.3; GCA_002786915.1, s__, 95.0, 78.16, 0.26; GCA_002781645.1, s__Rhodoferax sp1, 95.0, 78.15, 0.24; GCA_002789135.1, s__Rhodoferax sp2, 95.0, 78.12, 0.23; GCF_002251855.1, s__, 95.0, 78.07, 0.25; GCF_002163715.1, s__, 95.0, 78.0, 0.23; GCA_002390825.1, s__, 95.0, 77.75, 0.18; GCA_002381045.1, s__, 95.0, 77.44, 0.18	83.3	0.9814198383986767	N/A
CA-L442.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	GCA_002413825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	80.18	0.48	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_002422455.1, s__, 95.0, 79.17, 0.23; GCF_000013605.1, s__Rhodoferax ferrireducens, 95.0, 79.0, 0.45; GCA_002842265.1, s__, 95.0, 78.01, 0.27; GCA_001771065.1, s__, 95.0, 77.81, 0.26; GCF_001955715.1, s__Rhodoferax saidenbachensis, 95.0, 77.8, 0.28; GCA_001770935.1, s__, 95.0, 77.74, 0.31; GCA_002083775.1, s__Rhodoferax ferrireducens_A, 95.0, 77.67, 0.29; GCA_002786915.1, s__, 95.0, 77.63, 0.26; GCA_002789915.1, s__, 95.0, 77.63, 0.25; GCF_001938565.1, s__Rhodoferax antarcticus, 95.0, 77.62, 0.23; GCA_001795465.1, s__, 95.0, 77.61, 0.28; GCA_002256115.1, s__, 95.0, 77.59, 0.22; GCF_002017865.1, s__Rhodoferax fermentans, 95.0, 77.55, 0.28; GCA_002789135.1, s__Rhodoferax sp2, 95.0, 77.52, 0.23; GCF_002163715.1, s__, 95.0, 77.49, 0.2; GCA_002781645.1, s__Rhodoferax sp1, 95.0, 77.43, 0.22; GCF_002251855.1, s__, 95.0, 77.4, 0.26; GCA_002381045.1, s__, 95.0, 76.97, 0.18; GCA_002390825.1, s__, 95.0, 76.92, 0.16	90.11	0.9747534011580297	N/A
CA-L442.63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	GCA_002413825.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	78.2	0.29	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCF_000013605.1, s__Rhodoferax ferrireducens, 95.0, 78.01, 0.3; GCA_002422455.1, s__, 95.0, 77.66, 0.16; GCA_002786915.1, s__, 95.0, 77.37, 0.17; GCA_001795465.1, s__, 95.0, 77.34, 0.16; GCA_002842265.1, s__, 95.0, 77.26, 0.19; GCA_001770935.1, s__, 95.0, 77.25, 0.19; GCA_001771065.1, s__, 95.0, 77.17, 0.18; GCA_002083775.1, s__Rhodoferax ferrireducens_A, 95.0, 77.08, 0.18; GCF_002251855.1, s__, 95.0, 77.03, 0.16; GCF_001938565.1, s__Rhodoferax antarcticus, 95.0, 76.99, 0.15; GCF_001955715.1, s__Rhodoferax saidenbachensis, 95.0, 76.95, 0.17; GCA_002789915.1, s__, 95.0, 76.89, 0.18; GCA_002789135.1, s__Rhodoferax sp2, 95.0, 76.89, 0.14; GCF_002163715.1, s__, 95.0, 76.88, 0.12; GCF_002017865.1, s__Rhodoferax fermentans, 95.0, 76.86, 0.18; GCA_002256115.1, s__, 95.0, 76.76, 0.12; GCA_002781645.1, s__Rhodoferax sp1, 95.0, 76.73, 0.13; GCA_002381045.1, s__, 95.0, 76.48, 0.12; GCA_002390825.1, s__, 95.0, 76.17, 0.1	63.69	0.9690983512798984	N/A
L442-2014-15m.013	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	GCA_002842265.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Rhodoferax;s__	77.36	0.17	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_002789135.1, s__Rhodoferax sp2, 95.0, 77.31, 0.19; GCA_001771065.1, s__, 95.0, 77.2, 0.19; GCA_002786915.1, s__, 95.0, 77.04, 0.18; GCA_002083775.1, s__Rhodoferax ferrireducens_A, 95.0, 76.96, 0.21; GCA_002789915.1, s__, 95.0, 76.92, 0.15; GCF_001938565.1, s__Rhodoferax antarcticus, 95.0, 76.86, 0.18; GCA_002413825.1, s__, 95.0, 76.82, 0.13; GCF_000013605.1, s__Rhodoferax ferrireducens, 95.0, 76.79, 0.17; GCA_001770935.1, s__, 95.0, 76.77, 0.13; GCA_002381045.1, s__, 95.0, 76.57, 0.1; GCA_002781645.1, s__Rhodoferax sp1, 95.0, 76.5, 0.15; GCF_002017865.1, s__Rhodoferax fermentans, 95.0, 76.43, 0.16; GCF_001955715.1, s__Rhodoferax saidenbachensis, 95.0, 76.36, 0.1; GCA_001795465.1, s__, 95.0, 76.22, 0.11; GCA_002256115.1, s__, 95.0, 76.11, 0.09; GCF_002251855.1, s__, 95.0, 75.99, 0.09	79.5	0.9729971226127067	Genome has more than 16.7% of markers with multiple hits
L227-2014-8m.007	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Polynucleobacter;s__	GCA_001678065.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter necessarius_C	80.42	0.12	N/A	N/A	N/A	N/A	Placement	taxonomic classification fully defined by topology	GCA_001830325.1, s__, 95.0, 80.34, 0.52; GCF_000973625.1, s__Polynucleobacter duraquae, 95.0, 80.31, 0.5; GCF_001889925.1, s__, 95.0, 80.22, 0.56; GCF_000342265.1, s__, 95.0, 80.15, 0.57; GCF_001870385.1, s__, 95.0, 80.13, 0.55; GCF_001595965.1, s__Polynucleobacter yangtzensis, 95.0, 80.09, 0.56; GCF_002206635.1, s__Polynucleobacter aenigmaticus, 95.0, 80.01, 0.53; GCF_002206625.1, s__, 95.0, 79.92, 0.49; GCF_002192535.1, s__, 95.0, 79.91, 0.54; GCF_000016345.1, s__Polynucleobacter asymbioticus, 95.0, 79.73, 0.5; GCF_000019745.1, s__Polynucleobacter necessarius, 95.0, 79.72, 0.49; GCF_001659725.1, s__Polynucleobacter wuianus, 95.0, 79.67, 0.57; GCF_001595985.1, s__Polynucleobacter sinensis, 95.0, 79.66, 0.48; GCF_001953355.1, s__Polynucleobacter sphagniphilus, 95.0, 79.54, 0.42; GCA_000428385.1, s__, 95.0, 79.04, 0.25; UBA8364, s__, 95.0, 78.73, 0.34; GCF_002797575.1, s__, 95.0, 78.53, 0.4; GCF_900205755.1, s__, 95.0, 78.46, 0.37; GCA_002299505.1, s__, 95.0, 77.04, 0.2; GCF_900187875.1, s__, 95.0, 76.84, 0.13; GCA_002292975.1, s__, 95.0, 76.38, 0.12	83.65	0.9832800386607258	N/A
